18.8,37.8,16.4,7,1.2,3.8,3.8,3.3,2.1,3.8,3.8,3.8,3.3,2.5,3.8,4,4,3.6,2.7,4,4.2,4.2,3.7,3,4.2
4.5,75,16,8,1,3.9,3.9,3.7,2.9,3.9,3.9,3.9,3.7,3.6,3.9,4.1,4,4,4.1,4.1,4.2,4.3,4.2,4.7,4.2
2.3,89,11,,,3.6,3.6,,,3.6,3.6,3.6,,,3.6,4,4,,,4,4.2,4.3,,,4.2
3.9,70,20,9,2,3.9,3.8,3.9,3.8,3.9,3.9,3.7,3.9,3.7,3.9,4,3.9,4.3,4.2,4.1,4.2,4.1,4.6,4.8,4.3
1.4,30,40,30,,3.7,3.8,3.9,,3.8,3.8,3.8,3.9,,3.8,4,4,4,,4,4.4,4.3,4.2,,4.3
2.7,75,22,3,,3.8,4,3.7,,3.8,3.8,4,3.7,,3.8,3.9,4,4,,3.9,4.2,4.2,4.2,,4.2
4,41,43,15,1,3.7,3.7,3.8,3,3.7,3.7,3.7,3.7,4.2,3.7,3.9,4,4.1,4.1,4,3.9,4,4.1,4.1,4
11.4,3.1,8.9,16.7,26.2,3.8,3.8,3.7,2.7,3.4,3.8,4,3.9,3.8,3.9,3.9,4,3.9,4,4,4.1,4.1,4.1,4.3,4.2
4.2,2,13,40,45,3.6,3.9,3.6,2.8,3.3,3.6,3.9,3.8,3.8,3.8,3.8,3.9,3.9,3.9,3.9,4,4.1,4,4.1,4.1
2,9,9,37,45,3.8,3.7,3.7,2.8,3.3,3.8,3.6,3.9,3.8,3.8,3.9,3.9,4,4.2,4.1,4.1,4.1,4.4,4.5,4.4
5.2,14,34,36,16,3.9,3.8,3.7,2.5,3.6,3.9,4.2,3.9,3.7,4,4,4.1,3.9,4.1,4,4.1,4.2,4.1,4.4,4.2
28,30.3,28,27.1,23,3.8,3.9,3.7,2.8,3.7,3.8,3.9,3.7,3.7,3.8,3.9,3.9,4,4,3.9,4.2,4.2,4.3,4.3,4.2
12,24,36,26,14,3.8,4,3.6,2.6,3.7,3.8,4,3.8,3.6,3.8,3.9,3.9,3.9,3.9,3.9,4.2,4.2,4.3,4.2,4.2
9,52,22,21,5,3.7,3.7,3.7,3.1,3.7,3.7,3.7,3.7,3.7,3.7,3.9,3.9,4,3.9,3.9,4.1,4.2,4.2,4.2,4.1
7,32,25,28,15,3.8,3.8,3.7,2.8,3.6,3.8,3.8,3.7,3.7,3.8,4,4,4,4.2,4,4.2,4.2,4.3,4.4,4.3
14.8,14.6,12.4,13.2,23.2,3.7,3.7,3.6,2.8,3.5,3.7,3.7,3.7,3.7,3.7,4,4,4.1,4.3,4.1,4.2,4.3,4.5,4.5,4.4
1.3,19,19,33,29,3.6,3.6,3.6,3.3,3.5,3.6,3.5,3.6,3.5,3.6,3.9,3.8,3.9,4.2,4,4.6,4.6,4.6,4.6,4.6
13.5,33,24,22,21,3.7,3.7,3.6,2.7,3.5,3.7,3.7,3.7,3.7,3.7,4,4,4.1,4.3,4.1,4.2,4.3,4.5,4.5,4.4
27,14.2,33.7,36,26.5,3.9,3.9,3.7,2.9,3.7,3.9,3.9,3.7,3.7,3.8,4,4,3.9,4.2,4,4.2,4.2,4.3,4.5,4.3
2,31,20,22,27,3.7,3.7,3.7,2.5,3.4,3.7,3.7,3.7,3.7,3.7,4.2,4.3,4.3,4.7,4.4,4.5,4.7,4.7,4.7,4.6
24,16,37,36,11,3.9,3.9,3.7,2.9,3.7,3.9,3.9,3.7,3.7,3.8,4,4,3.9,4.2,4,4.2,4.2,4.3,4.5,4.3
1,14,19,18,49,3.7,3.8,3.6,2.6,3.2,3.6,3.8,3.8,3.7,3.7,4,4.1,4.2,4.4,4.3,4.5,4.3,4.4,4.6,4.5
,,,,,,,,,,,,,,,,,,,,,,,,